name,rva,size,note
??_7CGdiObject@@6B@,0x1e8cd4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CBrush@@6B@,0x1e8cf4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CRgn@@6B@,0x1ea2a4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CMapStringToOb@@6B@,0x1eafd4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CMapStringToPtr@@6B@,0x1eb014,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CPtrList@@6B@,0x1eb054,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CDialog@@6B@,0x1eb174,0xd8,MFC/CRT (statically linked; not reconstructed)
??_7CWnd@@6B@,0x1eb5c4,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CTestCmdUI@@6B@,0x1eb6ac,0x10,MFC/CRT (statically linked; not reconstructed)
??_7_AFX_CTL3D_STATE@@6B@,0x1eb6c4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CCmdTarget@@6B@,0x1eb7d4,0x58,MFC/CRT (statically linked; not reconstructed)
??_7CCmdUI@@6B@,0x1eb834,0x10,MFC/CRT (statically linked; not reconstructed)
??_7CDC@@6B@,0x1eba34,0x7c,MFC/CRT (statically linked; not reconstructed)
??_7CClientDC@@6B@,0x1ebab4,0x7c,MFC/CRT (statically linked; not reconstructed)
??_7CWindowDC@@6B@,0x1ebb34,0x7c,MFC/CRT (statically linked; not reconstructed)
??_7CPaintDC@@6B@,0x1ebbb4,0x7c,MFC/CRT (statically linked; not reconstructed)
??_7CPen@@6B@,0x1ebc34,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CResourceException@@6B@,0x1ebc4c,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CUserException@@6B@,0x1ebc6c,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CStatic@@6B@,0x1ebd64,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CButton@@6B@,0x1ebe34,0xc4,MFC/CRT (statically linked; not reconstructed)
??_7CListBox@@6B@,0x1ebf04,0xd8,MFC/CRT (statically linked; not reconstructed)
??_7CComboBox@@6B@,0x1ebfec,0xd0,MFC/CRT (statically linked; not reconstructed)
??_7CEdit@@6B@,0x1ec0cc,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CScrollBar@@6B@,0x1ec19c,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7_AFX_THREAD_STATE@@6B@,0x1ec264,0x4,MFC/CRT (statically linked; not reconstructed)
??_7AFX_MODULE_STATE@@6B@,0x1ec274,0x4,MFC/CRT (statically linked; not reconstructed)
??_7AFX_MODULE_THREAD_STATE@@6B@,0x1ec27c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7_AFX_BASE_MODULE_STATE@@6B@,0x1ec284,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CDWordArray@@6B@,0x1ec29c,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CPtrArray@@6B@,0x1ec2dc,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CDragListBox@@6B@,0x1ec5ec,0xec,MFC/CRT (statically linked; not reconstructed)
??_7CToolBarCtrl@@6B@,0x1ec6ec,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CStatusBarCtrl@@6B@,0x1ec7c4,0xc4,MFC/CRT (statically linked; not reconstructed)
??_7CListCtrl@@6B@,0x1ec89c,0xc4,MFC/CRT (statically linked; not reconstructed)
??_7CTreeCtrl@@6B@,0x1ec974,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CSpinButtonCtrl@@6B@,0x1eca4c,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CSliderCtrl@@6B@,0x1ecb24,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CProgressCtrl@@6B@,0x1ecbfc,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CHeaderCtrl@@6B@,0x1ecccc,0xc4,MFC/CRT (statically linked; not reconstructed)
??_7CHotKeyCtrl@@6B@,0x1ecda4,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CTabCtrl@@6B@,0x1ece7c,0xc4,MFC/CRT (statically linked; not reconstructed)
??_7CAnimateCtrl@@6B@,0x1ecf54,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CRichEditCtrl@@6B@,0x1ed01c,0xc0,MFC/CRT (statically linked; not reconstructed)
??_7CImageList@@6B@,0x1ed0e4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CFile@@6B@,0x1ed15c,0x5c,MFC/CRT (statically linked; not reconstructed)
??_7CFileException@@6B@,0x1ed1bc,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CMapPtrToPtr@@6B@,0x1ed264,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CByteArray@@6B@,0x1ed28c,0x14,MFC/CRT (statically linked; not reconstructed)
??_7_AFX_WIN_STATE@@6B@,0x1ed36c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CWinApp@@6B@,0x1ed374,0xa4,MFC/CRT (statically linked; not reconstructed)
??_7CCommandLineInfo@@6B@,0x1ed41c,0x18,MFC/CRT (statically linked; not reconstructed)
??_7CObArray@@6B@,0x1ed494,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CObList@@6B@,0x1ed4b4,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CStringList@@6B@,0x1ed4dc,0x14,MFC/CRT (statically linked; not reconstructed)
??_7CException@@6B@,0x1ed584,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CMemoryException@@6B@,0x1ed5a4,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CNotSupportedException@@6B@,0x1ed5c4,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CWinThread@@6B@,0x1ed61c,0x84,MFC/CRT (statically linked; not reconstructed)
??_7_AFX_CTL3D_THREAD@@6B@,0x1ed6a4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CThreadData@@6B@,0x1ed6ec,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CMenu@@6B@,0x1ed724,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CScrollView@@6B@,0x1ed854,0x110,MFC/CRT (statically linked; not reconstructed)
??_7CArchiveException@@6B@,0x1eda24,0x1c,MFC/CRT (statically linked; not reconstructed)
??_7CRecentFileList@@6B@,0x1eda54,0x18,MFC/CRT (statically linked; not reconstructed)
??_7CFrameWnd@@6B@,0x1edf0c,0xfc,MFC/CRT (statically linked; not reconstructed)
??_7CView@@6B@,0x1ee1c4,0x110,MFC/CRT (statically linked; not reconstructed)
??_7CCtrlView@@6B@,0x1ee2dc,0x110,MFC/CRT (statically linked; not reconstructed)
??_7CDocument@@6B@,0x1ee484,0xb8,MFC/CRT (statically linked; not reconstructed)
??_7CMirrorFile@@6B@,0x1ee54c,0x5c,MFC/CRT (statically linked; not reconstructed)
??_7type_info@@6B@,0x1ee5ac,0x4,MFC/CRT (statically linked; not reconstructed)
??_7strstreambuf@@6B@,0x1f0344,0x2c,MFC/CRT (statically linked; not reconstructed)
??_7istrstream@@6B@,0x1f0374,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ostrstream@@6B@,0x1f0384,0x4,MFC/CRT (statically linked; not reconstructed)
??_7strstream@@6B@,0x1f0394,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ios@@6B@,0x1f03bc,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ifstream@@6B@,0x1f03c4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ofstream@@6B@,0x1f03d4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7filebuf@@6B@,0x1f03fc,0x2c,MFC/CRT (statically linked; not reconstructed)
??_7streambuf@@6B@,0x1f042c,0x2c,MFC/CRT (statically linked; not reconstructed)
??_7istream@@6B@,0x1f045c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7istream_withassign@@6B@,0x1f046c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ostream@@6B@,0x1f047c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7ostream_withassign@@6B@,0x1f048c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7iostream@@6B@,0x1f049c,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CMemFile@@6B@,0x1f0964,0x70,MFC/CRT (statically linked; not reconstructed)
??_7CStringArray@@6B@,0x1f09ec,0x14,MFC/CRT (statically linked; not reconstructed)
??_7fstream@@6B@,0x1f0ad4,0x4,MFC/CRT (statically linked; not reconstructed)
??_7CrtDataPtr_216100@@6B@,0x216100,0x4,CRT/zlib .data fn-ptr slot (first=__fpmath)
??_7CrtDataPtr_216120@@6B@,0x216120,0x4,CRT/zlib .data fn-ptr slot (first=__exit)
??_7CrtDataPtr_216450@@6B@,0x216450,0x4,CRT/zlib .data fn-ptr slot (first=__CxxUnhandledExceptionFilter)
??_7CrtDataPtr_216528@@6B@,0x216528,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_21652c@@6B@,0x21652c,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_216530@@6B@,0x216530,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_216534@@6B@,0x216534,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_216538@@6B@,0x216538,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_21653c@@6B@,0x21653c,0x4,CRT/zlib .data fn-ptr slot (first=__fptrap)
??_7CrtDataPtr_224ff0@@6B@,0x224ff0,0x4,CRT/zlib .data fn-ptr slot (first=deflate_stored)
??_7CrtDataPtr_2257fe@@6B@,0x2257fe,0x100,CRT/zlib .data fn-ptr slot (first=sub_18e514)
??_7CrtDataPtr_216104@@6B@,0x216104,0x4,CRT thread .data table (stamped by GetCurrentThreadId/TlsSetValue; slot=ret-stub 0x51f510)
??_7CrtDataPtr_216108@@6B@,0x216108,0x4,CRT thread .data table (stamped by __endthreadex; slot=ret-stub 0x51f510)
??_7CrtDataPtr_216464@@6B@,0x216464,0x4,CRT SEH funclet table (slot 0x524df0 uses __except_handler3)
??_7CrtDataPtr_216558@@6B@,0x216558,0x4,CRT locale table (stamped by __setlocale_set_cat; slot in __expandlocale 0x5273f0)
??_7CArchiveStream@@6B@,0x1ed98c,0x38,MFC NAFXCW - CArchive's COM IStream wrapper (QueryInterface/Read/Write/Seek; statically linked, not reconstructed)
??_7_zdvec@@6B@,0x1f04dc,0x4,UNRECOVERED container-family class (its one slot is the ??_G at 0x16ea80); sits between zDArray (0x1f04d4) and CButeNodeEntry (0x1f04d8) in the band - likely _zdvec of the RTTI chain zDArray:_zdvec:_zvec:zErrHandling. @identity-TODO - was previously bound under the fabricated name ??_7CButeStore@@6BCButeStoreSecond@@@
